area_type,availability,location,bath,balcony,price,total_sqft_int,bhk
0,2,14,2.0,1.0,39.07,1056.0,2
2,0,163,5.0,3.0,120.0,2600.0,4
1,0,6,2.0,3.0,62.0,1440.0,3
0,0,131,3.0,1.0,95.0,1521.0,3
0,0,35,2.0,1.0,51.0,1200.0,2
0,0,0,2.0,1.0,38.0,1170.0,2
0,2,92,4.0,1.5843757375501535,204.0,2732.0,4
0,0,15,4.0,1.5843757375501535,600.0,3300.0,4
0,0,8,3.0,1.0,63.25,1310.0,3
2,0,717,6.0,1.5843757375501535,370.0,1020.0,6
0,2,0,2.0,2.0,70.0,1800.0,3
2,0,0,5.0,3.0,295.0,2785.0,4
0,0,12,2.0,1.0,38.0,1000.0,2
1,0,55,2.0,2.0,40.0,1100.0,2
2,0,23,3.0,2.0,148.0,2250.0,3
0,0,57,2.0,2.0,73.5,1175.0,2
0,0,50,3.0,2.0,48.0,1180.0,3
0,0,9,3.0,3.0,60.0,1540.0,3
0,0,331,4.0,2.0,290.0,2770.0,3
0,0,282,2.0,2.0,48.0,1100.0,2
1,0,28,1.0,1.0,15.0,600.0,1
0,2,143,3.0,1.0,122.0,1755.0,3
2,0,4,5.0,2.0,380.0,2800.0,4
0,0,17,3.0,1.0,103.0,1767.0,3
0,2,616,1.0,0.0,25.25,510.0,1
0,2,575,3.0,2.0,56.0,1250.0,3
0,0,2,1.0,1.0,23.1,660.0,2
1,2,0,3.0,2.0,81.0,1610.0,3
0,2,53,2.0,2.0,48.77,1151.0,2
0,0,2,2.0,1.0,47.0,1025.0,3
0,2,5,4.0,0.0,186.0,2475.0,4
0,0,50,2.0,1.0,35.0,1075.0,3
0,0,7,2.0,2.0,123.0,1760.0,3
0,0,9,3.0,3.0,57.39,1693.0,3
1,0,173,3.0,1.5843757375501535,125.0,1925.0,3
0,2,3,2.0,1.0,36.0,700.0,2
0,0,20,2.0,1.0,45.5,1070.0,2
0,0,58,3.0,2.0,125.0,1724.0,3
0,0,98,2.0,2.0,56.12,1290.0,3
1,0,6,2.0,2.0,45.0,1143.0,2
1,0,191,2.0,1.5843757375501535,81.0,1296.0,2
0,2,1,3.0,2.0,38.0,1254.0,3
0,0,251,1.0,0.0,38.0,600.0,1
2,0,5,1.0,0.0,48.0,660.0,1
0,2,3,2.0,2.0,91.79,1330.74,2
2,0,46,9.0,1.5843757375501535,200.0,600.0,8
0,0,96,2.0,0.0,33.0,970.0,2
0,2,0,2.0,1.0,94.82,1459.0,2
2,0,19,1.0,1.0,130.0,800.0,2
1,0,581,2.0,1.0,36.0,869.0,2
0,0,1024,2.0,1.0,50.0,1270.0,2
0,2,56,3.0,1.0,99.0,1670.0,3
1,0,0,3.0,2.0,91.0,2010.0,3
0,0,85,2.0,2.0,75.0,1185.0,2
0,0,5,2.0,3.0,75.0,1600.0,3
0,0,22,2.0,2.0,44.0,1200.0,2
0,0,331,2.0,2.0,185.0,1500.0,2
2,0,191,4.0,1.0,150.0,1407.0,6
0,0,664,2.0,2.0,45.0,840.0,2
2,0,1186,3.0,2.0,240.0,4395.0,3
0,0,251,2.0,1.0,55.0,845.0,2
2,0,0,5.0,3.0,650.0,5700.0,4
1,0,32,2.0,2.0,44.0,1160.0,2
1,0,89,8.0,0.0,140.0,3000.0,8
